Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-health.gov.il.fhir.core.json	66918	-	0	0	0	0	0	0	5	100	0	0	0	0	0	0	0	1	0	0	283	247	0	0	0	7	0	6
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-aspirin-intolerance.json	2047	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-cat-dander-allergy.json	1992	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	15	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-latex-allergy.json	2010	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	30	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-no-known-allergy.json	953	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-penut-allergy-resolved.json	2327	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-city-symbol.json	173511	170	2	0	0	0	0	0	7	427	0	0	2	0	0	0	0	2	0	0	655	32272	0	0	0	22	0	3
fsh-generated/resources/CodeSystem-department-type-moh.json	298221	182	1	0	0	0	0	0	6	275	0	0	1	0	0	0	0	1	0	0	931	428	0	0	0	37	0	2
fsh-generated/resources/CodeSystem-hebrew-date-day.json	2170	4	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	20	74	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-hebrew-date-month.json	1296	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-icd9il.json	19272	13	0	0	0	0	0	0	1	21	0	0	1	0	0	0	0	0	0	0	72	250	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-il-core-coverage-class.json	962	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	19	93	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-coverage-type.json	747	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	20	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-encounter-class.json	771	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	33	83	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-error-code.json	1288	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	14	80	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-medication-category.json	2246	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	22	71	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-medication-course-of-therapy-type.json	708	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	13	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-not-performed-reason.json	1849	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	76	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-il-core-premium-type.json	1050	2	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	26	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-religion-code.json	1206	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	14	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-urn.json	24371	21	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	134	138	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-institution-type-moh.json	18246	9	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	62	110	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medical-service-moh.json	428518	219	2	0	0	0	0	0	7	329	0	0	2	0	0	0	0	1	0	0	1223	468	0	0	0	64	0	4
fsh-generated/resources/CodeSystem-moh-medication-code.json	414	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	64	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-moh-tofes17-issue-code.json	3101	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	13	67	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-patient-admit-source-moh.json	4622	6	0	0	0	0	0	0	1	9	0	0	1	0	0	0	0	0	0	0	34	76	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-patient-release-type-moh.json	2240	3	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	23	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-patient-visit-reason-moh.json	6849	8	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	58	83	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-paying-entity-moh.json	13849	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	48	91	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-practitioner-advanced-course-moh.json	4696	5	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	41	91	0	0	0	0	0	0
